"Qty";"Value";"Device";"Package";"Parts";"Description";"HOUSEPART";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULATE";"PROD_ID";"SPICEPREFIX";"URL";"VALUE";
"7";"0.1UF";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C1, C2, C3, C11, C12, C15, C18";"302010138";"";"";"CC0603KRX7R9BB104";"";"";"";"";"";"";"100nf";
"1";"1.5K";"SMD-RES-1.5K-5%-1/10W(0603)";"R0603";"R16";"301010114";"";"";"RC0603JR-071K5L";"";"";"";"";"";"";"1.5K 1/10W";
"4";"10K";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R1, R4, R11, R15";"301010293";"";"";"RC0603JR-0710KL";"";"";"";"";"";"";"10K 1/10W";
"2";"10UF";"CERAMIC-10UF-6.3V-20%-X5R(0603)";"C0603";"C16, C17";"302010286";"";"";"CC0603MRX5R5BB106";"";"";"";"";"";"";"10UF 6.3V";
"1";"10UF-50V";"CERAMIC-10UF-25V-10%-X5R(1206)";"C1206";"C14";"302010181";"";"";"CL31A106KBHNNNE";"";"";"";"";"";"";"10uf";
"4";"120";"SMD-RES-120R-5%-1/8W(0805)";"R0805";"R9, R10, R12, R13";"301012183";"";"";"RC0805JR-07120RL";"";"";"";"";"";"";"1K";
"1";"1NF";"CERAMIC-1NF-50V-5%-C0G(0603)";"C0603";"C13";"302010341";"";"";"GRM1885C1H102JA01D";"";"";"";"";"";"";"1nf";
"2";"2.5KNH-50MA";"SMD-INDUCTOR-4.7NH-0.3NH-300MA(0402)";"L0402";"L2, L3";"303010037";"";"";"BLM18BD252SN1D";"";"";"";"";"L";"";"4.7NH-300MA";
"2";"20K";"SMD-RES-20K-1%-1/10W(0603)";"R0603";"R5, R6";"301011971";"";"";"RC0603FR-0720KL";"";"";"";"";"R";"";"20K";
"1";"22NF";"CERAMIC-22NF-50V-10%-X7R(0603)";"C0603";"C4";"302010095";"";"";"CC0603KRX7R9BB223";"";"";"";"";"";"";"22nf";
"2";"22PF";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"C5, C6";"302010143";"";"";"CC0603JRNPO9BN220";"";"";"";"";"C";"";"22pf";
"1";"22UH-2.2A";"303010525_22UH_7.1X6.6MM";"L2826";"L4";"SHC0603-220M, SMD Inductor 22uH-20%-0.139R-2.2A;2P-L7.1*W6.6*H3.0mm, SKU: 303010525";"";"";"SHC0603-220M ";"";"";"";"";"";"";"";
"1";"3.2768KHZ";"SMD-CRYSTAL-32.768KHZ-12.5PF-20PPM-90K(2P-L2.0X1.2MM)";"X2-SMD-L2.0X1.2X0.55MM";"Y2";"306010020";"";"";"FC-12M";"";"";"";"";"B";"";"3.2768KHZ";
"2";"390NF";"390NF-0603-10V-10%";"0603";"C7, C8";"0.39uF/390nF ceramic capacitors";"";"";"CC0603KRX7R6BB394";"";"";"";"CAP-10986";"C";"";"390nF";
"2";"4.7K";"SMD-RES-4.7K-5%-1/10W(0603)";"R0603";"R2, R3";"301010290";"";"";"RC0603JR-074K7L";"";"";"";"";"";"";"4.7K";
"1";"40V-1A";"SMD-DIODE-SCHOTTKY-40V-1A(DO-214AC)";"DO-214AC";"D5";"304020027";"";"";"1N5819";"";"";"";"";"";"";"40V-1A";
"2";"47K";"SMD-RES-47K-5%-1/10W(0603)";"R0603";"R7, R8";"301010084";"";"";"RC0603JR-0747KL";"";"";"";"";"R";"";"47K";
"2";"47UF";"47UF-POLAR-EIA3528-10V-10%";"EIA3528";"C9, C10";"47µF polarized capacitors";"";"";"TAJB476K010RNJ";"";"";"";"CAP-08310";"C";"";"47uF";
"1";"52.3K";"SMD-RES-51K-5%-1/10W(0603)";"R0603";"R14";"301012135";"";"";"WR06X5232FTL";"";"";"";"";"";"";"51K";
"1";"56NH";"SPARKFUN-PASSIVES_INDUCTOR0603";"SPARKFUN-PASSIVES_0603";"L1";"Inductors";"";"";"SDCL1608C56NJTDF";"";"";"";"";"";"";"";
"1";"8MHZ";"RESONATOR-8MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"Y1";"8MHz Resonator";"";"";"CSTCE8M00G55-R0";"";"";"";"XTAL-08895";"";"";"8MHz";
"1";"ANTENNA";"MPT2";"2POL254";"X1";"PHOENIX CONNECTOR";"";"";"1725656";"unknown";"unknown";"";"";"";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"Popular 328P in QFP";"";"";"ATMEGA328P-AU";"";"";"";"IC-09069";"";"";"ATMEGA328P_TQFP";
"1";"AUDIO";"MPT3";"3POL254";"X2";"PHOENIX CONNECTOR";"";"";"1725669";"unknown";"unknown";"";"";"X";"";"";
"1";"AUX-POWER";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"J4";"320020079";"";"";"P125-1103A1BS116A1";"";"";"";"";"";"";"3p-2.54";
"1";"CM1213";"SPARKFUN-DISCRETESEMI_CM1213";"SPARKFUN-DISCRETESEMI_SOT23-3";"D1";"";"";"";"CM1213A-01SO";"";"";"";"";"";"https://www.digikey.com.mx/product-detail/en/on-semiconductor/CM1213A-01SO/CM1213A-01SOOSCT-ND/3462265";"";
"1";"GPIO";"DIP-BLACK-MALE-HEADER-VERT(8P-2.54)";"H8-2.54";"J3";"320020080";"";"";"P125-1108A1BS116A1";"";"";"";"";"";"";"8p-2.54";
"2";"GREEN";"SMD-LED-CLEAR-GREEN(0805)";"LED-0805";"D2, D3";"304090057";"";"";"17-215SYGC/S530-E2/TR8";"";"";"";"";"";"";"GREEN-0805";
"1";"HLS8L-DC5V";"RELAY-HLS8L-DC5V-S-CHLS8L-DC5V-S-C";"REY5-19.0X15.0X15.0MM";"K1";"315030000";"";"";"HLS8L-DC5V-S-C";"";"";"";"";"";"";"";
"1";"ICSP";"DIP-BLACK-MALE-HEADER(2X3P-2.54）-2.54";"H2X3-2.54";"J1";"320020077";"";"";"P125-12A1BS116A1";"";"";"";"";"";"";"2x3p-2.54";
"1";"IO";"MPT6";"6POL254";"X4";"PHOENIX CONNECTOR";"";"";"1725698";"unknown";"unknown";"";"";"";"";"";
"1";"MCP16301/H";"MCP16301/H";"SOT23-6";"U4";"High-Voltage Input Integrated Switch Step-Down Regulator";"";"";"MCP16301T-I/CHY";"";"";"";"";"";"";"";
"1";"MMBT3904LT1G";"SMD-TRANSISTORS-NPN-40V-200MA-MMBT3904LT1G(SOT-23)";"SOT-23";"Q1";"305010013";"";"";"MMBT3904LT1G";"";"";"";"";"";"";"MMBT3904LT1G";
"2";"MMSD4148";"SMD-DIODE-100V-200MA(SOD-123)";"SOD-123";"D4, D6";"304010007";"";"";"MMSD4148";"";"";"";"";"";"";"MMSD4148-sod123";
"4";"MOUNT-HOLE4.1";"MOUNT-HOLE4.1";"4,1";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"1";"POWER";"MPT2";"2POL254";"X5";"PHOENIX CONNECTOR";"";"";"1725656";"unknown";"unknown";"";"";"";"";"";
"1";"RELAY";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"X3";"MKDSN 1,5/ 3-5,08 Printklemme";"";"";"1715734";"";"";"";"";"";"";"";
"1";"SERIAL";"DIP-BLACK-MALE-HEADER(6P-2.54)";"H6-2.54";"J2";"320020078";"";"";"P125-1106A1BS116A1";"";"";"";"";"X";"";"6p-2.54";
"1";"SI4707";"SPARKFUN-RF_SI4707";"SPARKFUN-RF_SI470X";"U2";"Silicon Labs Si4707 Weather Band and SAME Data Receiver";"";"";"SI4707-B20-GM";"";"";"";"";"X";"https://www.digikey.com/product-detail/en/silicon-labs/SI4707-B20-GM/336-2147-ND/2686997";"";
"1";"TLV70233DBVR";"TLV70233PDBVR";"SOT-23-5";"U5";"Manufacturer Part #: TLV702";"YES";"";"TLV70233DBVR";"";"";"1";"";"";"";"MF-REG-SOT235-3.3V-300mA";
"1";"TPA6111A2DR";"TPA6111SMD-T";"SO08";"U3";"TPA6111A2";"";"";"TPA6111A2DR";"";"";"";"IC-10149";"X";"https://www.digikey.com/product-detail/en/texas-instruments/TPA6111A2DR/296-10846-1-ND/381452";"TPA6111A2DR";
